iteration,train_error,test_error
119,9.833057676748251e-13,7.278419165146488e-07
120,5.614468505182272e-13,5.964355470844396e-07
121,4.170644018130446e-13,4.2251402608251e-07
122,2.758482461548417e-13,4.5723040547684944e-07
123,1.1338372962418388e-13,2.904525200282393e-07
124,6.58608672427733e-14,2.2323979662131066e-07
125,4.39513661196992e-14,1.78939221571639e-07
126,3.0678710575627114e-14,1.6047453070378025e-07
127,2.5103289808198552e-14,1.1866908415036904e-07
128,1.4316614435844546e-14,1.2165679732445422e-07
129,1.3447238250219665e-14,1.1290431920896182e-07
130,9.537377533780714e-15,1.0632946158484203e-07
131,1.246515708036057e-14,1.1824535958648851e-07
132,1.1835480647837473e-14,7.8469426851413e-08
133,6.326894439129607e-15,8.066414089480389e-08
134,7.537857192813426e-15,8.431949425879993e-08
135,8.655708666041774e-15,8.54834652823655e-08
136,7.045961174487371e-15,8.55268753010563e-08
137,7.64388349166513e-15,8.382493226921639e-08
138,9.689616866032439e-15,7.758858595874329e-08
139,9.765452473306692e-15,7.62004399783578e-08
140,6.383216573585884e-15,7.139005581624503e-08
141,7.6186931383896e-15,6.683712298816147e-08
142,6.9294549774364234e-15,6.826878284993399e-08
143,6.985239347615148e-15,6.440731881252049e-08
144,5.92428246759015e-15,6.174560482952174e-08
145,6.736137393273568e-15,6.155222768122748e-08
146,8.555779918090548e-15,8.960140196023759e-08
147,9.712918539123497e-15,6.086577574504481e-08
148,5.977354163933316e-15,5.579074634665116e-08
149,5.513150837496884e-15,5.458570004046592e-08
150,5.962509267787644e-15,5.84794203528638e-08
151,4.039262551772295e-15,5.4106692930488976e-08
152,5.257177209786091e-15,5.047403690872088e-08
153,4.168818206171278e-15,5.769816937917227e-08
154,3.7488676734894325e-15,5.512531679707777e-08
155,5.190635385651966e-15,5.1109892549972005e-08
156,2.556362377590006e-15,5.153608786956365e-08
157,6.2844739470465216e-15,5.5545646790555735e-08
158,5.9446199340592155e-15,5.423678604987714e-08
159,5.649712606334468e-15,5.179708047897691e-08
160,5.1282525610514956e-15,5.27635329705678e-08
161,7.610719915613143e-15,6.651114143974013e-08
162,6.338749107801146e-15,7.76705394751609e-08
163,4.561975934766661e-15,5.4038035996128995e-08
164,3.3385101616297388e-15,5.207993028077951e-08
165,6.261159261411811e-15,7.905992049161981e-08
166,6.644257762250874e-15,1.0016643703281147e-07
167,5.263525956777405e-14,2.0555325513882395e-07
168,6.119214089974657e-14,1.8859216584443673e-07
169,7.58235294505168e-14,1.5272876312266702e-07
