Iteración,Memoria 10,Memoria 50,Memoria 100
78,0.05716226420237649,0.038069104594270806,0.16037816858953455
79,0.057028351760173956,0.03747682732615158,0.15509138891620222
80,0.0570443663796947,0.03426700483646773,0.13956302813773186
81,0.05699893809326512,0.03369307111565185,0.13169601900095468
82,0.056969082816747105,0.033221330199279746,0.11751891094770729
83,0.05698294322980845,0.032812648543355694,0.11183353496483926
84,0.05658386903863884,0.0323557629438523,0.10625198440019396
85,0.056641288654320644,0.031918069172990025,0.10261080617029568
86,0.05655752474829848,0.03191936881185538,0.07756396117662173
87,0.056629403039999186,0.03188169533894862,0.07438110558132617
88,0.056677357525055976,0.03161694025970799,0.08433945691650735
89,0.05645320892781761,0.03132297364261135,0.07833816226702274
90,0.056581181855175716,0.03076748320505488,0.0745291298598853
91,0.05672633226763187,0.030548263125911898,0.0702984040765922
92,0.05680602064478361,0.030611014961744867,0.06820068339945513
93,0.056911411709247677,0.030321516737229035,0.06611261675058247
94,0.055855315138385334,0.03679716619555176,0.04791023184602459
95,0.05630276196886652,0.03344520515068014,0.048232127851270984
96,0.05649040674702342,0.033345076654106395,0.049051407253864046
97,0.05670236868609705,0.0341557103469968,0.04945366049868512
98,0.056660606358740866,0.03466214061133339,0.07598901310707004
99,0.057114783178851436,0.03491354123186886,0.10606172439081017
100,0.05474056100865709,0.03525298376178201,0.10588282600567467
101,0.05277868599381136,0.035560760243372486,0.12102920421573811
102,0.05127661154470593,0.03584224902477229,0.12735540062651965
103,0.04961905047224584,0.03590712113633301,0.13507066989829192
104,0.04501470642149285,0.025917213020761585,0.16908144590136448
105,0.0402972167735678,0.025162060477178214,0.15730426796245708
106,0.0403851298887764,0.02536822210139398,0.14034733344645672
107,0.04044479966955703,0.02595758772449512,0.1044769717639214
108,0.04023722719639215,0.02617617703737183,0.0372417780029076
109,0.040124478281679775,0.026633407447374233,0.03268323251767847
110,0.040449940844470705,0.027612573384279106,0.0403297943701869
111,0.03998161562436483,0.029845466891924546,0.03939748410485609
112,0.039839846700939464,0.032329323702294285,0.03934909622061962
113,0.03880489542532947,0.038709108228484806,0.03986129414692376
114,0.038408083669249554,0.039807200551541036,0.04328024711600108
115,0.03719502913985032,0.04323835642827733,0.04772417855962643
116,0.037755566831651974,0.0466629419450959,0.0350031794078648
117,0.038089585686103905,0.046408044142479316,0.033731729413493214
118,0.038382604316724606,0.04592666122249598,0.033509970941474954
